time,d1,d2,d3,x,y,z
2025-04-25 20:31:46,185,135,112,139.17,154.43,54.85
2025-04-25 20:31:46,424,409,371,115.81,198.44,391.57
2025-04-25 20:31:46,424,409,253,115.81,366.59,241.49
2025-04-25 20:31:49,108,121,198,44.35,47.32,121.81
2025-04-25 20:31:51,352,280,259,267.6,208.74,175.33
2025-04-25 20:31:52,441,375,286,300.9,327.32,155.44
2025-04-25 20:31:52,441,434,286,87.27,362.92,287.25
2025-04-25 20:31:54,197,209,233,36.7,80.47,209.06
2025-04-25 20:31:54,197,209,62,36.7,206.94,85.79
2025-04-25 20:31:55,345,280,247,245.52,215.53,184.1
2025-04-25 20:31:56,30,73,166,30.8,45.67,23.79
2025-04-25 20:31:56,191,129,204,158.17,84.65,129.07
2025-04-25 20:31:57,247,186,237,185.3,103.78,177.82
2025-04-25 20:31:58,194,188,254,71.05,47.99,206.94
2025-04-25 20:31:58,218,188,254,118.25,63.73,208.47
2025-04-25 20:31:59,420,322,409,387.48,79.13,214.7
2025-04-25 20:31:59,399,322,409,310.57,53.49,291.08
2025-04-25 20:32:00,369,304,404,258.52,19.51,303.29
2025-04-25 20:32:00,369,304,246,258.52,253.22,168.08
2025-04-25 20:32:01,376,334,420,194.75,12.41,356.03
2025-04-25 20:32:03,244,205,300,142.71,29.08,232.08
2025-04-25 20:32:03,386,374,170,101,383.7,125.02
2025-04-25 20:32:04,386,374,429,101,28.11,402.57
2025-04-25 20:32:07,141,97,116,114.63,120.74,39.02
2025-04-25 20:32:08,141,97,106,114.63,126.61,8.32
2025-04-25 20:32:09,253,241,188,87.7,176.56,203.04
2025-04-25 20:32:09,217,241,188,8.2,150.06,196.02
2025-04-25 20:32:09,217,204,188,86.05,137.08,186.58
2025-04-25 20:32:09,217,204,116,86.05,191.68,129.85
2025-04-25 20:32:15,65,122,129,1.34,89.24,32.54
2025-04-25 20:32:17,353,291,195,241.87,283.16,89.51
2025-04-25 20:32:17,117,86,117,93.97,107.67,34.43
2025-04-25 20:32:18,440,385,270,262.81,352.24,166.6
2025-04-25 20:32:18,81,90,226,51.34,3.91,98.34
2025-04-25 20:32:19,225,220,125,70.52,197,145.75
2025-04-25 20:32:21,161,62,217,176.74,42.78,58.44
2025-04-25 20:32:21,68,62,217,64.75,5.45,73.36
2025-04-25 20:32:21,68,62,144,64.75,69.47,24.18
2025-04-25 20:32:22,139,139,76,60,149.43,51.31
2025-04-25 20:32:22,137,139,76,57.2,148.49,50.66
2025-04-25 20:32:23,231,223,266,77.13,69.86,239.35
2025-04-25 20:32:23,231,223,145,77.13,188.59,163.11
2025-04-25 20:32:23,300,283,186,105.55,235.42,205.76
2025-04-25 20:32:25,297,241,351,199.53,10.43,258.86
2025-04-25 20:32:25,442,381,351,284.43,237.64,292.25
2025-04-25 20:32:26,105,76,193,89.12,42.85,91.91
2025-04-25 20:32:26,437,423,214,113.67,434.71,127.27
2025-04-25 20:32:28,379,306,258,286.6,251.27,148.34
2025-04-25 20:32:28,379,362,258,116.74,279.58,274.75
2025-04-25 20:32:29,437,434,392,71.64,194.74,418.37
2025-04-25 20:32:29,398,324,350,301.12,153.95,262.32
2025-04-25 20:32:29,398,324,432,301.12,10.11,303.99
2025-04-25 20:32:30,296,253,111,169.11,275.14,44.46
2025-04-25 20:32:30,254,253,111,62.36,239.55,139.21
2025-04-25 20:32:30,286,236,148,181.25,235.15,108.21
2025-04-25 20:32:31,115,101,145,76.1,90.65,83.76
2025-04-25 20:32:31,137,101,145,104.7,100.18,83.01
2025-04-25 20:32:32,100,30,199,115.42,30.05,51.73
2025-04-25 20:32:32,100,65,199,92.81,33.82,84.51
2025-04-25 20:32:32,100,65,207,92.81,26.05,87.22
2025-04-25 20:32:33,406,399,418,85.23,87.03,418.64
2025-04-25 20:32:34,379,305,301,289.4,195.35,213
2025-04-25 20:32:35,373,376,172,49.89,368.36,155.66
2025-04-25 20:32:35,71,63,172,66.47,48.5,58.57
2025-04-25 20:32:35,71,63,137,66.47,75.41,9.86
2025-04-25 20:32:35,87,63,137,81,80.25,26.23
2025-04-25 20:32:36,248,261,190,29.18,178.65,210.99
2025-04-25 20:32:38,307,258,346,187.6,34.13,277.86
2025-04-25 20:32:38,307,197,346,318.5,12.32,109.43
2025-04-25 20:32:38,121,146,108,25.94,126.84,77.72
2025-04-25 20:32:40,321,219,320,315,72.29,136.93
2025-04-25 20:32:40,321,219,353,315,21.9,153.29
2025-04-25 20:32:41,140,131,207,72.41,54.45,143.84
2025-04-25 20:32:41,113,131,207,37.2,42.72,131.3
2025-04-25 20:32:41,113,151,207,8.7,47.47,134.61
2025-04-25 20:32:42,286,301,54,19.56,313.41,35.35
2025-04-25 20:32:43,286,247,288,156.36,94.63,257.78
2025-04-25 20:32:43,340,247,288,310.71,146.08,137.91
2025-04-25 20:32:44,416,421,405,41.31,136.64,422.54
2025-04-25 20:32:45,414,384,425,167.25,74.86,404.43
2025-04-25 20:32:45,377,343,173,170.5,354.17,105.57
2025-04-25 20:32:47,359,264,391,330.35,14.27,204.9
2025-04-25 20:32:48,392,352,294,194,243.31,285.04
2025-04-25 20:32:49,395,374,311,132.54,235.29,328.17
2025-04-25 20:32:50,395,374,408,132.54,77.87,396.23
2025-04-25 20:32:50,264,241,115,114.15,240.58,124.61
2025-04-25 20:32:50,264,241,262,114.15,106.75,249.02
2025-04-25 20:32:50,337,241,262,315.2,173.77,71.71
2025-04-25 20:32:50,337,249,262,296.87,176.82,123.66
2025-04-25 20:32:50,337,249,253,296.87,187.61,106.6
2025-04-25 20:32:51,294,249,253,173.06,146.34,231.54
2025-04-25 20:32:52,394,276,407,418.92,30.2,58.08
2025-04-25 20:32:55,267,174,303,254.14,33.73,149.95
2025-04-25 20:32:55,229,174,303,166.1,4.38,198.67
2025-04-25 20:32:58,329,280,233,196.59,214.97,209.82
2025-04-25 20:32:59,232,216,284,93.87,45.29,240.38
2025-04-25 20:32:59,232,115,284,258.41,17.86,39.34
2025-04-25 20:32:59,167,115,216,134.1,55.76,133.11
2025-04-25 20:33:00,186,103,189,180.7,90.5,76.26
